date,close,open,high,low,volume,symbol
20241225,2980.1891,2944.2793,2985.4085,2937.3044,22116855.0,399928.SZ
20241224,2942.4218,2912.3309,2947.9405,2902.302,26536019.0,399928.SZ
20241223,2919.071,2899.7132,2945.3609,2899.7132,24928973.0,399928.SZ
20241220,2898.455,2950.2244,2953.101,2895.5567,25427152.0,399928.SZ
20241219,2954.4318,2984.837,2998.2454,2951.3972,34850243.0,399928.SZ
20241218,3002.3565,2989.643,3030.0195,2989.643,28206933.0,399928.SZ
20241217,2975.8901,2986.3902,3016.0385,2971.3523,25027924.0,399928.SZ
20241216,2988.7114,2950.319,3002.15,2950.319,29093194.0,399928.SZ
20241213,2951.2822,3000.4572,3002.3016,2950.6409,33097806.0,399928.SZ
20241212,3014.8002,3025.0032,3027.9301,3002.0167,30929726.0,399928.SZ
20241211,3023.1636,2978.3645,3025.8214,2976.6191,39756924.0,399928.SZ
20241210,2987.204,3037.5083,3043.2718,2980.8998,56284634.0,399928.SZ
20241209,2992.0891,2985.7596,3015.1594,2957.1448,67080246.0,399928.SZ
20241206,2974.2726,2947.9272,2982.1011,2947.9272,35978466.0,399928.SZ
20241205,2945.5094,2954.1292,2960.3452,2937.7436,19250390.0,399928.SZ
20241204,2969.1534,2890.3967,2979.2966,2888.6774,27502295.0,399928.SZ
20241203,2896.0917,2863.7994,2897.0013,2858.8763,17953434.0,399928.SZ
20241202,2866.5719,2853.4456,2872.88,2834.8103,24223814.0,399928.SZ
20241129,2853.9747,2854.4931,2871.9322,2847.2262,16175682.0,399928.SZ
20241128,2852.0854,2866.1066,2876.9529,2847.7124,16214976.0,399928.SZ
20241127,2870.5971,2840.9311,2870.6478,2819.0772,15365735.0,399928.SZ
20241126,2846.8466,2841.3856,2859.9935,2817.6236,13537714.0,399928.SZ
20241125,2856.852,2867.8111,2889.3793,2840.1498,19424001.0,399928.SZ
20241122,2855.7854,2932.984,2947.2972,2855.7854,21097022.0,399928.SZ
20241121,2931.9529,2926.1348,2951.174,2918.1713,19666531.0,399928.SZ
20241120,2932.9118,2905.8161,2934.0035,2899.2087,22945492.0,399928.SZ
20241119,2918.0139,2932.8633,2932.8633,2887.1524,33787596.0,399928.SZ
20241118,2926.9636,2885.7174,2960.8573,2885.5978,37621380.0,399928.SZ
20241115,2875.317,2872.0009,2896.485,2856.075,20567340.0,399928.SZ
20241114,2874.0981,2890.857,2920.6222,2871.5669,23418412.0,399928.SZ
20241113,2901.6889,2867.8464,2917.0124,2867.8464,22929401.0,399928.SZ
20241112,2876.6505,2895.4458,2922.8128,2867.3078,33298022.0,399928.SZ
20241111,2911.0986,2938.7989,2938.7989,2883.9396,35057421.0,399928.SZ
20241108,2961.1574,2999.8076,3017.7798,2946.9289,42621869.0,399928.SZ
20241107,2990.5678,2936.0414,2990.5919,2923.6255,49706303.0,399928.SZ
20241106,2941.6188,2955.0113,2978.4494,2929.3357,50922105.0,399928.SZ
20241105,2952.6029,2917.0746,2952.859,2903.5876,34653399.0,399928.SZ
20241104,2919.7802,2926.5915,2927.8839,2884.4549,18417790.0,399928.SZ
20241101,2919.8018,2879.4951,2940.3414,2879.4951,24896848.0,399928.SZ
20241031,2872.2113,2874.2763,2895.5405,2848.1788,21418623.0,399928.SZ
20241030,2880.8825,2902.592,2919.8475,2863.4694,19507330.0,399928.SZ
20241029,2910.5419,2955.9331,2957.3068,2907.9506,24356983.0,399928.SZ
20241028,2972.1323,2941.0104,2972.1323,2929.5002,28986533.0,399928.SZ
20241025,2944.1427,2945.4985,2957.076,2937.5213,14834682.0,399928.SZ
20241024,2946.8739,2953.1433,2958.4497,2938.0217,15866659.0,399928.SZ
20241023,2960.8874,2959.2192,2968.6257,2937.3808,19196898.0,399928.SZ
20241022,2959.5922,2941.8734,2962.8391,2932.1394,14133554.0,399928.SZ
