date,close,open,high,low,volume,symbol
20241225,8080.8418,8131.7254,8156.227,8041.582,2900391.0,399913.SZ
20241224,8084.2073,8004.6455,8091.1714,8004.6455,2814756.0,399913.SZ
20241223,8011.1635,8046.6851,8080.7317,8007.7482,3282180.0,399913.SZ
20241220,8048.1875,8065.8066,8127.3258,8048.0752,3159389.0,399913.SZ
20241219,8070.5787,8031.1821,8089.7425,7999.7943,3435351.0,399913.SZ
20241218,8087.0359,8090.4131,8127.0484,8078.8824,2912757.0,399913.SZ
20241217,8070.4435,8087.967,8147.9622,8060.7491,3372377.0,399913.SZ
20241216,8096.3464,8178.3953,8191.1257,8072.9481,4155114.0,399913.SZ
20241213,8185.2711,8367.0412,8369.2817,8184.7451,8140522.0,399913.SZ
20241212,8415.0282,8346.375,8424.9972,8321.1035,5612692.0,399913.SZ
20241211,8362.1458,8315.0507,8373.57,8310.2492,4617829.0,399913.SZ
20241210,8340.2842,8612.7775,8626.1532,8320.7052,7830064.0,399913.SZ
20241209,8365.9187,8459.8022,8473.9536,8342.0713,5707387.0,399913.SZ
20241206,8345.1187,8156.3369,8384.9984,8156.3369,5813341.0,399913.SZ
20241205,8145.1212,8176.628,8184.3526,8110.4148,3088315.0,399913.SZ
20241204,8195.5038,8268.5945,8268.5945,8168.1243,3824159.0,399913.SZ
20241203,8288.5529,8308.4519,8316.1296,8246.9201,4275161.0,399913.SZ
20241202,8324.5951,8252.9647,8350.2316,8213.7655,5115606.0,399913.SZ
20241129,8253.6918,8149.3608,8333.2835,8149.3608,5234987.0,399913.SZ
20241128,8133.6128,8233.1832,8248.4512,8113.73,3518301.0,399913.SZ
20241127,8234.1852,8064.2108,8235.6497,8059.8437,4302527.0,399913.SZ
20241126,8089.6399,8053.6386,8196.0036,8052.3085,3598127.0,399913.SZ
20241125,8067.5778,8126.1506,8188.4751,7988.6068,4627714.0,399913.SZ
20241122,8115.3109,8428.044,8428.0985,8115.3109,5658423.0,399913.SZ
20241121,8436.0853,8459.2882,8483.6677,8379.7409,4452505.0,399913.SZ
20241120,8485.7877,8278.2707,8536.6303,8274.342,6403229.0,399913.SZ
20241119,8308.443,8247.6262,8311.2984,8135.16,4714375.0,399913.SZ
20241118,8221.5685,8319.1497,8390.1368,8182.3496,5625914.0,399913.SZ
20241115,8311.2283,8460.2321,8501.7327,8311.2283,5342998.0,399913.SZ
20241114,8488.186,8697.6127,8702.3121,8481.5683,6141223.0,399913.SZ
20241113,8719.6542,8721.185,8842.7606,8640.849,7593823.0,399913.SZ
20241112,8779.0682,8692.4621,9013.2601,8692.4621,12929882.0,399913.SZ
20241111,8694.8247,8545.19,8697.8915,8483.2982,8305546.0,399913.SZ
20241108,8637.5052,8782.246,8814.2908,8597.4695,9719311.0,399913.SZ
20241107,8686.491,8311.1692,8686.8446,8298.4959,10658831.0,399913.SZ
20241106,8390.5247,8399.9703,8534.7198,8336.6398,8753363.0,399913.SZ
20241105,8398.7863,8180.2679,8415.913,8130.2965,8788523.0,399913.SZ
20241104,8202.3987,8131.9378,8205.8314,8127.4017,4985967.0,399913.SZ
20241101,8112.9052,8089.5062,8229.9095,8077.3916,6468572.0,399913.SZ
20241031,8099.2672,8144.2816,8199.395,8059.4957,6498909.0,399913.SZ
20241030,8175.6555,8206.6442,8326.9213,8117.709,7046118.0,399913.SZ
20241029,8279.0566,8490.8965,8507.8586,8268.5384,7669853.0,399913.SZ
20241028,8435.9911,8335.4889,8439.2177,8277.7683,7971281.0,399913.SZ
20241025,8354.2509,8211.3321,8414.049,8141.9742,9548630.0,399913.SZ
20241024,8240.0363,8326.3816,8357.1167,8219.8476,7941008.0,399913.SZ
20241023,8354.7869,8334.8915,8411.7065,8263.4704,7532101.0,399913.SZ
20241022,8330.1764,8226.229,8400.2619,8219.5571,7277351.0,399913.SZ
20241021,8251.1066,8221.589,8358.8248,8092.1138,9087638.0,399913.SZ
20241018,8208.4833,7863.378,8434.1108,7820.9896,11342113.0,399913.SZ
20241017,7884.1284,7994.6442,8063.0579,7884.1284,7102892.0,399913.SZ
20241016,7945.8215,7974.5005,8077.4934,7907.6862,6450028.0,399913.SZ
20241015,8109.9608,8351.2894,8395.2025,8108.3951,7256942.0,399913.SZ
20241014,8358.4152,8338.6462,8384.5061,8147.201,8867617.0,399913.SZ
20241011,8301.4888,8672.0853,8680.1213,8206.5619,9721006.0,399913.SZ
20241010,8733.4884,8790.9873,9043.914,8611.8192,11858843.0,399913.SZ
20241009,8743.6455,9308.883,9415.5273,8743.6455,18002563.0,399913.SZ
20241008,9548.6932,9940.9374,9940.9374,9085.7555,23172023.0,399913.SZ
20240930,8766.6451,8339.2687,8808.4385,8212.0183,17702153.0,399913.SZ
20240927,7919.9642,7528.9031,7985.499,7528.9031,11485003.0,399913.SZ
20240926,7366.2828,7036.6733,7367.1708,6973.4874,7828759.0,399913.SZ
20240925,7060.2097,7032.4816,7181.6218,7032.4816,7287997.0,399913.SZ
20240924,6962.8771,6799.0305,6963.5668,6720.7555,5822656.0,399913.SZ
20240923,6735.2363,6825.147,6875.0335,6729.4457,3637178.0,399913.SZ
20240920,6767.0799,6842.6662,6842.6662,6702.9305,3529561.0,399913.SZ
20240919,6845.0641,6806.6287,6901.1509,6724.6125,3826363.0,399913.SZ
20240918,6773.0834,6791.1503,6817.0158,6738.9235,2401801.0,399913.SZ
20240913,6789.2302,6836.8505,6847.8321,6786.825,2943570.0,399913.SZ
20240912,6829.7195,6904.089,6951.7016,6829.5409,3597575.0,399913.SZ
20240911,6906.3404,6845.7211,6936.5732,6815.0742,3122537.0,399913.SZ
20240910,6863.738,6922.0426,6925.3263,6814.2072,3646125.0,399913.SZ
20240909,6930.375,6913.7494,7003.6422,6900.534,3591768.0,399913.SZ
20240906,6938.616,7063.3665,7067.6032,6938.5259,2092684.0,399913.SZ
20240905,7062.6806,7005.0389,7093.5914,7002.7761,2638783.0,399913.SZ
20240904,7003.1365,6990.4951,7088.3997,6972.8313,2944975.0,399913.SZ
20240903,7011.1669,6928.9348,7082.5778,6920.0453,3168711.0,399913.SZ
20240902,6944.1783,7055.5111,7058.5121,6939.8517,3889939.0,399913.SZ
20240830,7079.0784,7007.783,7165.1227,6973.3273,4816431.0,399913.SZ
20240829,6967.3299,6858.8435,6992.4266,6857.805,3314389.0,399913.SZ
20240828,6875.0171,6885.4174,6923.2926,6845.7275,3160261.0,399913.SZ
20240827,6900.3193,6895.7569,6944.1284,6873.8896,3103208.0,399913.SZ
20240826,6915.4099,6983.4271,6985.1675,6877.6094,4006952.0,399913.SZ
20240823,6978.7802,6973.2081,7010.5235,6935.8744,2556730.0,399913.SZ
20240822,6993.5485,7050.896,7075.7559,6980.2918,3656434.0,399913.SZ
20240821,7032.1687,7069.0225,7114.7807,7029.6264,2544464.0,399913.SZ
20240820,7083.145,7160.8817,7162.8311,7060.5232,2986617.0,399913.SZ
20240819,7161.9406,7232.0782,7305.4888,7150.4535,3636246.0,399913.SZ
20240816,7235.5794,7201.9153,7246.2481,7154.6965,3074854.0,399913.SZ
20240815,7225.3289,7163.7329,7293.5831,7163.7329,3397026.0,399913.SZ
20240814,7177.7955,7283.9188,7283.9188,7158.402,3067110.0,399913.SZ
20240813,7291.4563,7354.0641,7359.425,7229.1521,4138233.0,399913.SZ
20240812,7358.602,7267.1088,7409.5755,7261.2966,4094617.0,399913.SZ
20240809,7277.7046,7411.9321,7451.2246,7277.7,3903025.0,399913.SZ
20240808,7398.5671,7363.9081,7470.9589,7361.6601,4101645.0,399913.SZ
20240807,7370.8861,7405.6344,7423.1074,7340.2772,3264108.0,399913.SZ
20240806,7419.85,7374.6926,7458.4522,7352.1044,3944306.0,399913.SZ
20240805,7335.15,7336.8719,7510.9382,7329.1167,5290208.0,399913.SZ
20240802,7354.2024,7266.6179,7477.1647,7257.7756,5176520.0,399913.SZ
20240801,7287.9967,7354.8858,7396.1607,7262.7787,4412982.0,399913.SZ
20240731,7351.4084,7026.7387,7359.2328,7021.855,6462466.0,399913.SZ
20240730,7037.821,7092.9278,7126.3264,7001.097,4121756.0,399913.SZ
20240729,7070.2781,7199.9699,7201.1365,7068.1491,2891279.0,399913.SZ
20240726,7200.499,7210.1952,7227.8065,7132.182,3135228.0,399913.SZ
20240725,7210.9398,7175.462,7257.2433,7151.729,3250104.0,399913.SZ
20240724,7228.3105,7268.0041,7349.4684,7205.6637,3026181.0,399913.SZ
20240723,7293.0243,7512.9928,7512.9928,7293.0243,4113377.0,399913.SZ
20240722,7527.7948,7489.5766,7578.8714,7446.2168,4009720.0,399913.SZ
20240719,7493.4081,7413.9796,7505.6563,7396.7001,4158736.0,399913.SZ
20240718,7433.8746,7339.981,7443.3782,7322.8963,4517565.0,399913.SZ
20240717,7364.1778,7178.7878,7389.8743,7178.0138,5115332.0,399913.SZ
20240716,7197.5886,7143.0841,7210.9107,7129.5829,3089132.0,399913.SZ
20240715,7163.2755,7183.0215,7224.0005,7136.4932,3158445.0,399913.SZ
20240712,7215.9949,7229.0391,7262.6255,7175.2586,4083758.0,399913.SZ
20240711,7216.4311,7124.9742,7248.591,7080.8512,6124310.0,399913.SZ
20240710,7021.2241,6987.5937,7091.9038,6979.7749,3398310.0,399913.SZ
20240709,7004.3634,6967.4977,7039.4579,6885.989,3702911.0,399913.SZ
20240708,6979.9469,7106.155,7109.9548,6965.7188,3544147.0,399913.SZ
20240705,7142.1218,6976.0656,7163.6001,6949.0318,4248449.0,399913.SZ
20240704,6990.0094,7081.6363,7110.0026,6983.3787,3444307.0,399913.SZ
